times,gctimes,memory,allocs
166989.0,0.0,137488,14
170687.0,0.0,137488,14
175509.0,0.0,137488,14
174638.0,0.0,137488,14
169605.0,0.0,137488,14
167717.0,0.0,137488,14
163357.0,0.0,137488,14
153405.0,0.0,137488,14
173441.0,0.0,137488,14
164128.0,0.0,137488,14
187091.0,0.0,137488,14
184284.0,0.0,137488,14
201325.0,0.0,137488,14
225291.0,0.0,137488,14
175459.0,0.0,137488,14
181520.0,0.0,137488,14
153308.0,0.0,137488,14
155506.0,0.0,137488,14
197644.0,0.0,137488,14
170568.0,0.0,137488,14
202849.0,0.0,137488,14
190161.0,0.0,137488,14
203394.0,0.0,137488,14
193742.0,0.0,137488,14
186978.0,0.0,137488,14
193253.0,0.0,137488,14
183751.0,0.0,137488,14
163910.0,0.0,137488,14
178410.0,0.0,137488,14
209585.0,0.0,137488,14
180669.0,0.0,137488,14
167749.0,0.0,137488,14
196035.0,0.0,137488,14
198823.0,0.0,137488,14
184927.0,0.0,137488,14
185949.0,0.0,137488,14
167793.0,0.0,137488,14
163877.0,0.0,137488,14
151267.0,0.0,137488,14
158375.0,0.0,137488,14
151512.0,0.0,137488,14
144893.0,0.0,137488,14
154189.0,0.0,137488,14
177450.0,0.0,137488,14
188016.0,0.0,137488,14
178072.0,0.0,137488,14
178182.0,0.0,137488,14
186719.0,0.0,137488,14
220640.0,0.0,137488,14
210221.0,0.0,137488,14
185527.0,0.0,137488,14
201842.0,0.0,137488,14
214078.0,0.0,137488,14
198747.0,0.0,137488,14
153081.0,0.0,137488,14
151795.0,0.0,137488,14
180949.0,0.0,137488,14
171936.0,0.0,137488,14
203473.0,0.0,137488,14
157531.0,0.0,137488,14
162936.0,0.0,137488,14
157885.0,0.0,137488,14
154132.0,0.0,137488,14
149689.0,0.0,137488,14
166570.0,0.0,137488,14
155615.0,0.0,137488,14
152896.0,0.0,137488,14
152915.0,0.0,137488,14
151103.0,0.0,137488,14
148970.0,0.0,137488,14
157379.0,0.0,137488,14
156755.0,0.0,137488,14
160140.0,0.0,137488,14
151895.0,0.0,137488,14
149918.0,0.0,137488,14
167011.0,0.0,137488,14
155640.0,0.0,137488,14
157214.0,0.0,137488,14
154752.0,0.0,137488,14
157659.0,0.0,137488,14
159950.0,0.0,137488,14
211963.0,0.0,137488,14
153767.0,0.0,137488,14
162895.0,0.0,137488,14
159651.0,0.0,137488,14
158194.0,0.0,137488,14
182926.0,0.0,137488,14
157655.0,0.0,137488,14
149173.0,0.0,137488,14
177346.0,0.0,137488,14
145909.0,0.0,137488,14
155883.0,0.0,137488,14
149034.0,0.0,137488,14
151305.0,0.0,137488,14
155795.0,0.0,137488,14
151324.0,0.0,137488,14
151519.0,0.0,137488,14
150202.0,0.0,137488,14
160570.0,0.0,137488,14
161762.0,0.0,137488,14
